locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
PA0001,dnaA,1,405,E,Essential
PA0002,dnaN,1,405,E,Essential
PA0003,recF,1,405,NE,Non
PA0004,gyrB,1,405,E,Essential
PA0005,lptA,1,405,NE,Non
PA0006,,1,405,E,Essential
PA0007,,1,405,NE,Non
PA0008,glyS,1,405,E,Essential
PA0009,glyQ,1,405,E,Essential
PA0010,tag,1,405,NE,Non
"PA0011,,2,""405,421"",""NE,E"",Conditional"
PA0012,,1,405,NE,Non
"PA0013,,2,""405,421"",""NE,E"",Conditional"
"PA0014,,2,""421,405"",""E,NE"",Conditional"
PA0015,,1,405,NE,Non
"PA0016,trkA,2,""405,421"",""NE,E"",Conditional"
PA0017,,1,405,NE,Non
PA0018,fmt,1,405,E,Essential
PA0019,def,1,405,E,Essential
PA0020,,1,405,NE,Non
PA0021,,1,405,NE,Non
PA0022,,1,405,E,Essential
PA0023,qor,1,405,NE,Non
PA0024,hemF,1,405,E,Essential
PA0025,aroE,1,405,NE,Non
PA0026,plcB,1,405,NE,Non
PA0027,,1,405,NE,Non
PA0028,,1,405,NE,Non
PA0029,,1,405,NE,Non
PA0030,,1,405,NE,Non
PA0031,betC,1,405,NE,Non
PA0032,,1,405,NE,Non
PA0033,,1,405,NE,Non
PA0034,,1,405,NE,Non
PA0035,trpA,1,405,NE,Non
PA0036,trpB,1,405,NE,Non
PA0037,trpI,1,405,NE,Non
PA0038,,1,405,NE,Non
PA0039,,1,405,NE,Non
PA0040,,1,405,NE,Non
PA0041,,1,405,NE,Non
PA0042,,1,405,NE,Non
PA0043,,1,405,NE,Non
PA0044,exoT,1,405,NE,Non
PA0045,,1,405,NE,Non
PA0046,,1,405,NE,Non
"PA0047,,2,""405,421"",""NE,E"",Conditional"
PA0048,,1,405,NE,Non
PA0049,,1,405,NE,Non
PA0050,,1,405,NE,Non
PA0051,phzH,1,405,NE,Non
PA0052,,1,405,NE,Non
PA0053,,1,405,NE,Non
PA0054,,1,405,NE,Non
PA0055,,1,405,NE,Non
PA0056,,1,405,NE,Non
PA0057,,1,405,NE,Non
PA0058,,1,405,NE,Non
PA0059,osmC,1,405,NE,Non
PA0060,,1,405,NE,Non
PA0061,,1,405,NE,Non
PA0062,,1,405,NE,Non
PA0063,,1,405,NE,Non
PA0064,,1,405,NE,Non
PA0065,,1,405,NE,Non
PA0066,,1,405,NE,Non
PA0067,prlC,1,405,NE,Non
PA0068,,1,405,NE,Non
PA0069,,1,405,NE,Non
PA0070,,1,405,NE,Non
PA0071,,1,405,NE,Non
PA0072,,1,405,NE,Non
